Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,
6,0,1,950523,blgl,162.7,68,206,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,blkcrp,218.8,198,244,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,bndkilli,67.0,67,67,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,carp,710.0,670,760,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,chnpick,224.2,156,322,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,eel,378.8,220,505,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,gldshnr,203.0,75,293,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,lmb,219.1,80,523,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,pmpknsd,171.3,126,199,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,ylbull,225.6,191,280,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,1,950523,yperch,229.5,176,278,Wenscott (Twin Rivers) Res,"North Providence,Linc,Smithfield",41.87328,-71.46367,,,,,,
6,0,2,950530,blgl,139.3,53,195,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,blkcrp,263.0,263,263,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,brktrt,235.5,223,248,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,brntrt,294.0,294,294,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,carp,600.9,528,700,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,chnpick,229.6,109,311,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,eel,484.4,292,600,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,lmb,227.1,69,348,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,pmpknsd,148.3,102,173,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,rnbwtrt,311.0,311,311,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,wperch,235.8,162,282,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,2,950530,ylbull,221.0,221,221,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
